"Day","Month","Year","Rented.Bike.Count","Hour","Temperature","Humidity","Wind.Speed.ms","Visibility.10m","Dew.Point.Temperature","Solar.Radiation","Rainfall.mm","Snowfall.cm","Holiday"
"01","04",2020,579,0,12.1,70,0.8,1050,6.7,0,0,0,"No Holiday"
"01","04",2020,453,1,11.7,74,0.5,979,7.2,0,0,0,"No Holiday"
"01","04",2020,322,2,11.7,72,0.6,915,6.8,0,0,0,"No Holiday"
"01","04",2020,221,3,11.9,71,0.7,853,6.7,0,0,0,"No Holiday"
"01","04",2020,147,4,12.1,69,0.3,827,6.5,0,0,0,"No Holiday"
"01","04",2020,96,5,12.3,65,0.5,1085,5.8,0,0,0,"No Holiday"
"01","04",2020,110,6,12.4,61,0.4,1131,5,0,0,0,"No Holiday"
"01","04",2020,169,7,12.5,62,0.4,1003,5.4,0,0,0,"No Holiday"
"01","04",2020,342,8,12.9,64,1.5,778,6.2,0.06,0,0,"No Holiday"
"01","04",2020,485,9,13.5,66,1.8,934,7.2,0.16,0,0,"No Holiday"
"01","04",2020,566,10,14.7,61,2,945,7.2,0.64,0,0,"No Holiday"
"01","04",2020,737,11,16.7,55,2.1,1182,7.6,1.37,0,0,"No Holiday"
"01","04",2020,926,12,18,53,3.1,1350,8.2,1.53,0,0,"No Holiday"
"01","04",2020,1156,13,17.9,60,2.2,1248,10,0.86,0,0,"No Holiday"
"01","04",2020,1201,14,17.5,67,2.1,832,11.2,0.42,0,0,"No Holiday"
"01","04",2020,1349,15,18.2,63,2.2,687,11,0.72,0,0,"No Holiday"
"01","04",2020,1409,16,18.2,69,3.2,625,12.4,0.87,0,0,"No Holiday"
"01","04",2020,1362,17,18,72,1.8,559,12.8,0.47,0,0,"No Holiday"
"01","04",2020,1296,18,17.7,75,2.1,519,13.2,0.12,0,0,"No Holiday"
"01","04",2020,1066,19,17.4,79,2.3,614,13.7,0.03,0,0,"No Holiday"
"01","04",2020,984,20,17.1,80,1.5,480,13.6,0,0,0,"No Holiday"
