"Longitude","Latitude","HousingMedianAge","TotalRooms","TotalBedrooms","Population","Households","MedianIncome","MedianHouseValue","OceanProximity"
-122.28,37.85,52,610,145,281,132,2.9018,119.4,"NEAR BAY"
-117.62,34.08,30,1372,235,1047,225,3.1597,116.3,"INLAND"
-118.32,34.18,49,192,41,83,38,3.0179,118.8,"<1H OCEAN"
-117.05,33.13,20,7746,2035,5370,1838,2.3762,98.5,"<1H OCEAN"
-122.25,38.15,24,2917,543,1878,531,3.7014,123.6,"NEAR BAY"
-122.38,40.67,10,2281,444,1274,438,2.212,65.6,"INLAND"
-118.2,33.87,26,703,202,757,212,2.525,155.5,"<1H OCEAN"
-117.62,33.42,27,1005,266,460,243,3.1029,190.6,"NEAR OCEAN"
-118.32,34.05,50,1389,364,976,302,1.5882,327.3,"<1H OCEAN"
-118.11,33.91,36,1088,231,617,211,3.8824,193.1,"<1H OCEAN"
-118.16,34.18,44,1870,389,1345,391,1.8932,136.1,"<1H OCEAN"
-118.58,34.23,29,3907,773,2037,727,4.1023,230.2,"<1H OCEAN"
-122.01,37.39,26,2500,962,2374,879,3.5586,222.2,"<1H OCEAN"
-118.13,33.86,45,1320,256,645,256,4.4,209.5,"<1H OCEAN"
-122.06,38.26,36,1248,221,672,222,3.3839,105.9,"INLAND"
-117.04,32.67,14,3464,683,2139,734,4.0668,137.5,"NEAR OCEAN"
-121.06,37.86,24,1713,328,1258,324,2.683,169.4,"INLAND"
-121.97,36.96,27,4001,999,1808,945,2.561,234.6,"NEAR OCEAN"
-119.6,36.57,33,1923,403,1205,389,1.8333,68.3,"INLAND"
-118.05,34.13,23,3264,729,1475,668,3.735,218.3,"INLAND"
-117.99,33.88,42,1461,302,986,314,3.9559,161.1,"<1H OCEAN"
-122.25,37.52,14,1472,291,876,292,4.3594,366,"NEAR BAY"
-121.4,38.62,28,3671,886,1733,820,2.2292,113.2,"INLAND"
-122.27,37.84,48,1922,409,1026,335,1.7969,110.4,"NEAR BAY"
-122,38.25,7,11768,1893,6657,1874,4.9222,142.9,"INLAND"
-122.43,37.77,52,1567,482,654,425,2.6914,366.7,"NEAR BAY"
-121.89,37.66,3,1565,464,769,461,2.1187,231.3,"INLAND"
-122.43,37.77,52,4397,1116,1939,1053,2.7587,354.5,"NEAR BAY"
-119.7,34.43,39,1486,467,758,409,2.6875,320.6,"<1H OCEAN"
-117.88,33.84,26,1499,290,755,277,3.5893,238.5,"<1H OCEAN"
-121.54,39.6,15,886,204,576,205,2.1467,84.1,"INLAND"
-118.01,33.93,31,3395,742,1886,737,4.4118,174.4,"<1H OCEAN"
-122.33,37.55,51,2565,332,870,309,9.3694,500.001,"NEAR OCEAN"
-117.69,34.07,35,3222,559,1970,550,3.7083,131,"INLAND"
-118.23,34.18,47,1853,345,757,310,3.6875,422,"<1H OCEAN"
-122.14,37.77,27,2229,365,1297,355,4.8304,279.1,"NEAR BAY"
-119.89,36.76,17,1987,335,1152,313,4.1719,126.4,"INLAND"
-118.13,33.87,20,3638,868,2326,822,3.3304,194.6,"<1H OCEAN"
-121.94,37.3,30,1758,248,814,256,6.623,332.5,"<1H OCEAN"
-118.32,33.97,52,1778,320,795,279,3.5114,138.8,"<1H OCEAN"
-118.29,34.18,10,4292,1075,2719,987,3.6974,286.6,"<1H OCEAN"
-116.95,32.82,12,5535,1434,3112,1262,2.5949,108.3,"<1H OCEAN"
-118.26,33.92,40,1076,244,705,255,1.7986,98.9,"<1H OCEAN"
-119.63,36.7,42,1338,215,617,222,3.0833,133.3,"INLAND"
-121.66,36.82,17,3921,654,1895,641,5.0092,238.7,"<1H OCEAN"
-122.32,37.94,46,1901,295,833,352,5.5196,210.8,"NEAR BAY"
-115.37,32.82,14,1276,270,867,261,1.9375,80.9,"INLAND"
-118.61,35.08,6,3660,646,1243,482,3.4911,137.2,"INLAND"
-121.79,37.33,18,3611,614,2381,642,5.6345,231,"<1H OCEAN"
-117.14,32.7,48,510,180,545,132,1.8008,86.5,"NEAR OCEAN"
-117.31,33.25,14,3483,764,2140,687,3.125,102.3,"<1H OCEAN"
-118.3,33.88,26,1221,312,807,330,4.0536,253.6,"<1H OCEAN"
-117.15,32.76,37,1921,502,811,472,2.75,175,"NEAR OCEAN"
-121.86,38,16,3216,464,1504,453,5.25,161.7,"INLAND"
-121.56,38.44,43,1485,270,653,251,3,141.7,"INLAND"
-122.25,38.11,52,2846,705,1519,620,2.1976,97.9,"NEAR BAY"
-117.99,33.66,29,1330,293,613,236,4.6591,353.1,"<1H OCEAN"
-120.18,39.17,18,1703,360,354,163,3.6563,146.9,"INLAND"
-117.24,32.95,18,1591,268,547,243,5.9547,329.3,"NEAR OCEAN"
-117.98,33.99,26,3343,455,1429,457,7.0778,334.3,"<1H OCEAN"
-121.53,39.52,24,1028,185,471,186,2.9688,86.4,"INLAND"
-122.21,37.43,20,975,134,324,146,9.7796,500.001,"NEAR OCEAN"
-118.45,37.25,20,1468,283,721,270,3.0817,118.8,"INLAND"
-122.43,37.66,29,3541,786,2259,770,4.3039,278.4,"NEAR OCEAN"
-119.73,36.73,9,1621,428,678,394,2.2437,54.2,"INLAND"
-118.27,34.14,29,3768,1211,2320,1030,2.7685,204.5,"<1H OCEAN"
-117.65,34.04,15,3393,NA,2039,611,3.9336,151,"INLAND"
-120.94,37.58,19,1549,369,770,370,2.0493,99.5,"INLAND"
-121.53,38.51,20,6132,1324,2595,1174,3.1607,178.9,"INLAND"
-120.84,38.77,11,1013,188,410,158,4.825,184.6,"INLAND"
-116.76,34.14,4,42,10,9,3,0.536,42.5,"INLAND"
-121.88,37.41,23,3224,652,2183,655,4.3807,226.9,"<1H OCEAN"
-119.23,34.46,34,9280,1765,4514,1693,3.2026,227.6,"<1H OCEAN"
-121.56,39.13,17,2277,608,1607,562,1.5085,69.7,"INLAND"
-117.2,34.46,7,8414,1584,5146,1517,3.2794,92.5,"INLAND"
-118.2,33.94,45,1818,408,1705,373,4.0441,157.5,"<1H OCEAN"
-118.21,34.05,26,745,258,694,236,1.3846,129.2,"<1H OCEAN"
-117,34.87,16,6862,1292,3562,1126,3.6091,87.2,"INLAND"
-116.93,32.83,21,1283,278,684,289,2.3203,163.5,"<1H OCEAN"
-118.48,34.42,21,1375,259,728,258,5.0166,229,"<1H OCEAN"
-119.67,36.33,19,1241,244,850,237,2.9375,81.7,"INLAND"
-122.01,36.98,47,2403,517,1144,455,2.5954,229.4,"NEAR OCEAN"
-122.43,37.74,52,1514,314,724,301,5.3292,300.9,"NEAR BAY"
-120.97,37.68,16,2493,535,1370,504,3.3368,121.2,"INLAND"
-117.11,32.82,16,3980,682,3174,647,2.6607,175,"NEAR OCEAN"
-118.18,33.99,38,1010,315,1157,301,1.6341,161.8,"<1H OCEAN"
-118.44,34.3,38,1595,314,1181,327,3.4,155.5,"<1H OCEAN"
-117.91,33.87,52,2031,506,1191,463,2.9076,177.3,"<1H OCEAN"
