Date,Open,High,Low,Close,Volume,Adj Close
2014-05-23,607.25,614.730011,606.470009,614.129997,58052400,84.034622
2014-05-22,606.599998,609.850006,604.100021,607.269974,50190000,83.095929
2014-05-21,603.830002,606.699974,602.059975,606.310005,49214900,82.964572
2014-05-20,604.510017,606.399994,600.730011,604.710022,58709000,82.745638
2014-05-19,597.849998,607.330002,597.329987,604.590019,79438800,82.729217
2014-05-16,588.629974,597.529991,585.399994,597.510017,69064100,81.760423
2014-05-15,594.70002,596.599983,588.040001,588.819992,57711500,80.571322
2014-05-14,592.430008,597.400002,591.740005,593.869987,41601000,81.262339
2014-05-13,591.999985,594.540016,590.699982,593.760025,39934300,81.247292
2014-05-12,587.489975,593.659996,587.399986,592.830017,53302200,81.120034
2014-05-09,584.540001,586.25,580.330025,585.540024,72899400,80.122506
2014-05-08,588.249992,594.410027,586.400017,587.990013,57574300,80.457751
2014-05-07,595.249992,597.289986,587.72998,592.329979,70716100,80.601425
2014-05-06,601.799995,604.409988,594.410027,594.410027,93641100,80.884468
2014-05-05,590.140022,600.999977,589.999992,600.959976,71766800,81.775753
2014-05-02,592.340019,594.199982,589.709999,592.580025,47878600,80.63545
2014-05-01,591.999985,594.799995,586.360016,591.480026,61012000,80.485767
2014-04-30,592.639999,599.430008,589.799988,590.089981,114160200,80.296616
2014-04-29,593.739998,595.979996,589.509995,592.329979,84344400,80.601425
2014-04-28,572.800026,595.749977,572.54998,594.090019,167371400,80.840922
2014-04-25,564.529984,571.990021,563.959984,571.93998,97568800,77.826851
2014-04-24,568.210014,570.000015,560.730003,567.770004,189977900,77.259421
2014-04-23,529.060013,531.13002,524.449974,524.750008,98735000,71.405466
2014-04-22,528.309982,531.830009,526.500008,531.70002,50640800,72.35119
2014-04-21,525.339981,532.139977,523.959976,531.170021,45637200,72.279071
2014-04-17,519.999992,527.76001,519.199974,524.940025,71083600,71.431323
2014-04-16,518.049988,521.090004,514.139992,519.01001,53691400,70.624395
2014-04-15,520.270012,521.639977,511.329994,517.959999,66622500,70.481514
2014-04-14,521.900009,522.159988,517.210022,521.679977,51418500,70.987711
2014-04-11,519.000023,522.830017,517.140007,519.610023,67929400,70.706042
2014-04-10,530.680023,532.240005,523.169998,523.480019,59913000,71.232652
2014-04-09,522.639999,530.490005,522.020012,530.320015,51542400,72.163406
2014-04-08,525.190018,526.120026,518.699989,523.440018,60972100,71.227209
2014-04-07,528.019989,530.900002,521.890022,523.469978,72462600,71.231286
2014-04-04,539.810005,540.000023,530.579994,531.820023,68812800,72.36752
2014-04-03,541.390015,542.50,537.640022,538.790009,40586000,73.315962
2014-04-02,542.379997,543.479996,540.260002,542.549988,45105200,73.827602
2014-04-01,537.760025,541.870026,536.769989,541.649994,50190000,73.705135
2014-03-31,539.230019,540.809975,535.930023,536.739975,42167300,73.037003
2014-03-28,538.319984,538.940025,534.249985,536.859978,50141000,73.053333
2014-03-27,540.019997,541.499977,535.120018,537.459991,55507900,73.13498
2014-03-26,546.520012,549.000015,538.860023,539.779991,74942000,73.450674
2014-03-25,541.499977,545.750008,539.589973,544.98999,70573300,74.159626
2014-03-24,538.420013,540.500008,535.05999,539.190018,88925200,73.370393
2014-03-21,531.929985,533.75,526.330017,532.86998,93511600,72.510393
2014-03-20,529.889992,532.669975,527.350014,528.700005,52099600,71.942963
2014-03-19,532.259979,536.23999,528.999985,531.26001,56189000,72.291316
2014-03-18,525.899994,531.969986,525.200005,531.399986,52411800,72.310363
2014-03-17,527.699982,529.969994,525.850006,526.740013,49886200,71.676256
2014-03-14,528.789993,530.890015,523.000008,524.68998,59299800,71.397298
2014-03-13,537.440018,539.659988,529.159988,530.650009,64435700,72.20831
2014-03-12,534.510017,537.349976,532.00,536.609985,49831600,73.019315
2014-03-11,535.450012,538.740021,532.589973,536.089973,69806100,72.948554
2014-03-10,528.360023,533.330017,528.339996,530.919975,44646000,72.245046
2014-03-07,531.090019,531.980026,526.050011,530.440018,55182400,72.179735
2014-03-06,532.789978,534.440002,528.099991,530.749985,46372200,72.221914
2014-03-05,530.919975,534.750023,529.129974,532.360008,50015700,72.440998
2014-03-04,530.999977,532.640015,527.769997,531.239983,64785000,72.288591
2014-03-03,523.419991,530.650009,522.80999,527.76001,59695300,71.815053
2014-02-28,529.079987,532.749977,522.119987,526.239975,92992200,71.608214
2014-02-27,517.140007,528.780006,516.049995,527.670021,75470500,71.802807
2014-02-26,523.610008,525.00,515.599998,517.349998,69054300,70.398508
2014-02-25,529.38002,529.569984,521.000015,522.060013,57988000,71.039424
2014-02-24,523.150024,529.920006,522.420021,527.550018,72227400,71.786478
2014-02-21,532.789978,534.569992,524.599991,525.249992,69696200,71.473502
2014-02-20,532.989983,537.000008,528.999985,531.149994,76464500,72.276345
2014-02-19,544.749985,546.890007,534.350014,537.370003,78442000,73.122734
2014-02-18,546.00,551.190025,545.609978,545.990013,65062900,74.295704
2014-02-14,542.469986,545.980026,541.209984,543.990021,68231100,74.023555
2014-02-13,534.659981,544.850014,534.199997,544.429977,76849500,74.083422
2014-02-12,536.95002,539.560013,533.239975,535.919983,77025200,72.925423
2014-02-11,530.610008,537.749985,529.500023,535.959984,70564200,72.930866
2014-02-10,518.659988,531.990013,518.00,528.989998,86389800,71.982424
2014-02-07,521.379997,522.929993,517.380013,519.679985,92570100,70.715562
2014-02-06,510.060005,513.499977,507.81002,512.509995,64441300,69.739904
2014-02-05,506.560005,515.279991,506.249985,512.589996,82086200,69.335766
2014-02-04,505.849976,509.459991,502.760025,508.790016,94170300,68.821759
2014-02-03,502.610008,507.730019,499.300026,501.529984,100366000,67.839727
